,"ja","en"
"name","画像スライダー","Image Slider"
"fields.image-list:label","スライド","Slides"
"fields.is-loop:label","ループしますか？","Allow loop"
"fields.is-loop:options.0.label","無効","Disabled"
"fields.is-loop:options.1.label","有効","Enabled"
"fields.show-prevnext:label","前と次のスライドを少しだけ見せますか？","Show a little bit of the previous and next slides"
"fields.show-prevnext:options.0.label","無効","Disabled"
"fields.show-prevnext:options.1.label","有効","Enabled"
"fields.show-slide-numbers:label","スライド番号を表示しますか？","Show slide numbers"
"fields.show-slide-numbers:options.0.label","表示しない","Hide"
"fields.show-slide-numbers:options.1.label","表示する","Show"
